serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,002821,凯莱英,528959.4428,245114.8109,151041.3103,215106.1844,107248.2186,1823927.365,,56889.2374,27732.9571,217709.5275,,27732.9571,0,11.94,615500.8475,1564742.764,FY,2022
2,002821,凯莱英,588717.0245,199238.1106,110807.4043,252346.8549,92413.957,1854676.005,,37071.9076,34210.2564,177334.8749,,34210.2564,0.0195,9.56,678535.448,1632485.457,Q1,2023
3,002821,凯莱英,709955.091,247622.9978,88035.9114,210508.536,98193.7431,1976422.61,,39467.2635,35557.84,179493.6039,,35557.84,0,9.08,770093.2662,1743356.552,Q3,2023
4,002821,凯莱英,704148.2523,252516.1782,78802.3344,186038.5065,91584.7891,1919689.859,,41387.4335,33557.9763,197716.2949,,33557.9763,0.0003,10.3,717696.617,1674877.335,HY,2023
5,002821,凯莱英,710998.6609,199876.1478,94534.7307,190577.8817,133074.1548,1976715.865,8.38,45362.0062,22120.4439,180080.2929,-17.28,22120.4439,1222.797,9.11,775992.2411,1747971.634,FY,2023
6,002821,凯莱英,754786.9903,171292.7095,99233.0687,143478.0195,151464.2363,1984142.323,6.98,40598.5587,27183.755,176824.0664,-0.29,27183.755,1222.797,8.91,804189.3839,1757890.893,Q1,2024
7,002821,凯莱英,520211.7378,165962.7765,119791.7336,195678.9667,176649.8935,1869773.839,-5.4,55089.4605,26673.3096,158583.1284,-11.65,26673.3096,1222.797,8.48,783638.1926,1661288.357,Q3,2024
8,002821,凯莱英,567892.3802,148293.212,99795.9298,204072.8195,179542.8292,1885864.712,-1.76,38832.8039,25206.072,189368.9594,-4.22,25206.072,1222.797,10.04,761711.5787,1642903.961,HY,2024
9,002821,凯莱英,578940.8498,181100.8371,119334.6493,153980.9293,186678.134,1928855.769,-2.42,45084.5943,26994.0918,170934.5179,-5.08,26994.0918,1222.797,8.86,807800.6859,1684538.517,FY,2024
10,002821,凯莱英,680198.3716,166350.5039,118713.0091,76444.9856,198803.1879,1944717.65,-1.99,46767.4845,35263.451,155851.5333,-11.86,35263.451,15776.1913,8.01,840461.4677,1717997.703,Q1,2025
11,002821,凯莱英,666165.9994,152672.2009,149662.0683,89891.5732,210842.6698,1980717.584,5.93,58014.8309,28959.2628,178445.4797,12.52,28959.2628,17579.1697,9.01,848318.5952,1735033.005,Q3,2025
12,002821,凯莱英,679430.4301,197496.3262,121200.4083,66267.0956,207440.6446,1985138.777,5.26,47881.4752,39006.2,207503.5846,9.58,39006.2,0.004,10.45,830041.0989,1708303.243,HY,2025
13,300347,泰格医药,785813.9864,102778.9336,2220.444,2494.5744,18627.6652,2744651.06,,15795.7611,93976.47,372956.6848,,93976.47,184865.847,13.59,727033.4547,1958302.233,FY,2022
14,300347,泰格医药,761613.0649,107737.5174,2312.6561,3284.0646,22181.3206,2817212.77,,17598.2484,87090.0929,379699.4946,,87090.0929,208258.565,13.48,783878.964,2014501.339,Q1,2023
15,300347,泰格医药,741710.136,117600.9099,2723.8796,2500,24987.6779,3007244.941,,16854.3507,79426.8614,427208.8046,,79426.8614,253383.8,14.21,867421.7264,2105987.8,Q3,2023
16,300347,泰格医药,813791.0878,120179.371,2653.4685,2000,25733.375,2966667.573,,17439.6952,87638.1211,463325.0533,,87638.1211,236311.34,15.62,818294.984,2058610.394,HY,2023
17,300347,泰格医药,741999.1842,126070.0341,2339.7667,4213.8296,32427.8367,2968074.235,8.14,24930.7925,68048.9185,413873.6292,10.97,68048.9185,196969.35,13.94,877479.4749,2102677.473,FY,2023
18,300347,泰格医药,744151.1432,120916.4852,2367.4383,870.1513,40776.3268,3007018.549,6.74,25480.4089,76718.305,446391.4498,17.56,76718.305,227859.66,14.84,900986.6752,2113182.959,Q1,2024
19,300347,泰格医药,196763.2937,124124.4927,2219.6125,7630,51662.0831,3027659.202,0.68,22833.073,80981.5728,479525.7757,12.25,80981.5728,301043.4835,15.84,909693.2877,2106496.67,Q3,2024
20,300347,泰格医药,317262.047,133291.1879,2213.6941,4251.7738,47262.7691,3041711.641,2.53,22711.2814,77224.5863,533241.5803,15.09,77224.5863,276705.92,17.53,877635.2813,2076516.811,HY,2024
21,300347,泰格医药,205534.483,135975.8181,3195.6086,7485.2975,42053.5374,2867101.579,-3.4,25728.7412,79073.7309,366185.2465,-11.52,79073.7309,191201.7204,12.77,868864.7453,2067065.345,FY,2024
22,300347,泰格医药,150526.7395,115538.884,3646.3701,17000,44267.8469,2872959.295,-4.46,27712.163,80907.2676,363572.4222,-18.55,80907.2676,189004.6527,12.65,885411.6195,2052927.47,Q1,2025
23,300347,泰格医药,164814.9746,142716.6649,4394.294,5800,47838.9559,2878425.179,-4.93,33793.0502,110339.2115,293785.3013,-38.73,110339.2115,60181.5468,10.21,945253.893,2117633.866,Q3,2025
24,300347,泰格医药,173287.9416,128771.6507,4363.4437,8700,46468.2655,2850465.776,-6.29,30686.7453,94330.827,339568.9293,-36.32,94330.827,143939.1704,11.91,881544.1906,2052444.188,HY,2025
25,301080,百普赛斯,182791.5381,6187.4322,9305.0652,24563.2328,1595.5217,273596.0237,,3112.4918,0.0086,10547.9458,,314.9329,0.2022,3.86,30452.8627,256320.4429,FY,2022
26,301080,百普赛斯,190289.8117,8011.0001,10244.5723,15500.3224,1204.2156,276618.4308,,3491.1182,344.4951,9021.1078,,344.4951,7080.7946,3.26,34957.8151,261292.2271,Q1,2023
27,301080,百普赛斯,178790.6774,8033.8163,13177.5382,20659.0697,23398.8343,279315.026,,1826.9647,203.4808,13597.5842,,203.4808,2351.3196,4.87,31268.3974,258747.4293,Q3,2023
28,301080,百普赛斯,186929.1772,7467.7786,11148.543,12177.9467,20400.3748,272649.2102,,1739.4531,329.1075,12380.0555,,329.1075,1882.7168,4.54,27616.049,254859.9817,HY,2023
29,301080,百普赛斯,198414.1692,7429.2262,13671.8199,238.6378,26807.7803,281349.7945,2.83,6672.7443,363.7247,18509.2385,75.48,363.7247,600.8826,6.58,31843.1,258955.8266,FY,2023
30,301080,百普赛斯,186394.8517,7632.0323,15448.5418,9023.6432,28708.2016,281212.2373,1.66,4485.2019,250.7152,15272.0248,69.29,250.7152,3050,5.43,35339.8866,262368.0707,Q1,2024
31,301080,百普赛斯,185190.6212,6822.4381,17288.7217,120.658,6148.4427,280112.3847,0.29,8258.4083,218.8788,21409.7201,57.45,218.8788,5090.8826,7.64,29416.7457,257170.7144,Q3,2024
32,301080,百普赛斯,193907.0569,8690.7567,16557.9813,120.6481,30390.4994,287562.463,5.47,8474.2562,226.3022,31235.4452,152.3,226.3022,4530.8826,10.86,26737.2836,254387.3302,HY,2024
33,301080,百普赛斯,188810.18,10033.6267,19713.2053,1.0939,3432.8937,291460.8352,3.59,8712.0176,418.8941,27886.137,50.66,418.8941,8823.3105,9.57,33420.0664,261565.4173,FY,2024
34,301080,百普赛斯,169626.5949,10082.0311,21141.3074,11800,3685.1121,283158.0698,0.69,6818.579,411.4473,19580.7071,28.21,411.4473,5116.2033,6.92,33883.6469,262113.281,Q1,2025
35,301080,百普赛斯,153046.6886,12632.7985,25563.8232,33679.6913,6220.4005,292976.9839,4.59,5876.6183,528.2856,17648.4721,-17.57,528.2856,79.3199,6.02,36930.0184,264246.5396,Q3,2025
36,301080,百普赛斯,171100.9044,11772.9957,24423.4247,11000,5567.8752,287809.6464,0.09,7539.9541,549.084,22858.1967,-26.82,549.084,1760.59,7.94,33421.371,261487.9021,HY,2025
37,301096,百诚医药,123878.9221,14951.6101,6605.129,0.0002,54620.5045,292970.4605,,13930.3742,6261.2016,29070.046,,6261.2016,500.6111,9.92,27046.509,248251.7859,FY,2022
38,301096,百诚医药,128182.5787,18854.8825,7584.9865,0,68386.903,324604.5079,,12530.6048,8617.1588,53236.0454,,8617.1588,25007.8194,16.4,30553.3674,253310.8413,Q1,2023
39,301096,百诚医药,92113.8713,19425.3113,8765.7983,-1.3535,29104.1808,340609.9344,,14825.2157,9055.3137,68255.6523,,9055.3137,29021.7778,20.04,38541.9354,260027.7667,Q3,2023
40,301096,百诚医药,107904.702,19676.276,9085.4373,0.0002,32974.0173,338152.3061,,15878.1627,7942.4896,62982.652,,7942.4896,28020.9722,18.63,30339.2525,254469.2555,HY,2023
41,301096,百诚医药,88192.9188,19991.957,9317.3603,0.0003,44881.6461,366910.6137,25.24,21996.2904,7401.2975,84619.0708,191.09,7401.2975,36931.955,23.06,44421.526,268413.7131,FY,2023
42,301096,百诚医药,79055.5446,24841.7247,12374.6092,108.4853,16431.6957,383469.0945,18.13,13351.5961,6401.4705,96341.8125,80.97,6401.4705,63402.3814,25.12,49403.3469,274138.8523,Q1,2024
43,301096,百诚医药,24299.0245,38981.5889,14922.2182,21900,19132.9106,375990.3683,10.39,11459.7054,9272.8457,82190.0624,20.42,9272.8457,55881.9578,21.86,55342.8613,276973.2268,Q3,2024
44,301096,百诚医药,61545.3538,35397.6719,15231.7235,8366,17269.0065,391262.6565,15.71,12356.9539,9079.6616,94186.0219,49.54,9079.6616,63387.6064,24.07,54598.2993,280024.2564,HY,2024
45,301096,百诚医药,42896.9485,36149.3395,17734.2362,8300,20665.9919,372118.8516,1.42,13489.411,11242.3761,76937.9233,-9.08,11242.3761,36008.0774,20.68,35887.5479,257938.9784,FY,2024
46,301096,百诚医药,39288.9025,38090.4163,19738.1308,12000,21281.0304,377388.5877,-1.59,9982.857,11599.3384,84659.3327,-12.13,11599.3384,53018.6724,22.43,33267.7861,255315.9817,Q1,2025
47,301096,百诚医药,37274.0298,47175.6779,22173.6302,17000,22297.9029,394692.7442,4.97,9477.9879,9553.912,103000.0641,25.32,9553.912,72846.3642,26.1,36499.9689,258547.1388,Q3,2025
48,301096,百诚医药,41887.3651,45477.5199,20581.8758,14864,21938.524,387494.0312,-0.96,10033.6999,9145.2664,95187.0447,1.06,9145.2664,67035.7446,24.56,36197.364,258245.7834,HY,2025
49,301033,迈普医学,4495.7139,1041.6693,2940.9921,14706.5989,1.6311,74491.95,,3272.7318,54.9354,8176.679,,90.3854,-0.0003,10.98,8964.7351,60258.229,FY,2022
50,301033,迈普医学,1283.7726,642.8486,2880.6484,16638.33,3.3015,72844.7432,,2933.0317,75.5097,4671.9415,,178.028,210.3657,6.41,9746.39,61039.8838,Q1,2023
51,301033,迈普医学,3884.4857,978.263,2792.5936,15582.1548,342.7547,75641.9321,,2950.9985,88.2385,5588.4565,,404.0773,210.3657,7.39,10185.9519,61479.4457,Q3,2023
52,301033,迈普医学,1455.8848,476.5647,2620.0307,16051.9621,152.9877,72016.0486,,2669.1471,99.995,4967.3543,,612.3417,382.2383,6.9,8832.6389,60126.1327,HY,2023
53,301033,迈普医学,2667.661,1807.7156,2619.8103,19281.9257,5.3112,78696.9033,5.64,3193.0209,75.8711,6812.3717,-16.69,43.8624,0.0002,8.66,11401.5684,63585.8213,FY,2023
54,301033,迈普医学,4938.0615,1407.364,3034.4255,16679.6737,120.2028,77803.7173,6.81,1939.2494,151.1277,4739.488,1.45,124.6846,26589.8793,6.09,12896.0439,64455.7103,Q1,2024
55,301033,迈普医学,4179.5654,1159.6244,3539.9678,13831.4669,9.7982,74447.3126,-1.58,945.2398,608.0623,4512.1455,-19.26,69.2883,5404.1913,6.06,14053.448,66326.9578,Q3,2024
56,301033,迈普医学,3203.353,1389.5171,3372.0004,11266.0338,5.3112,70981.0387,-1.44,1018.6093,472.015,3480.7742,-29.93,158.8269,0.0478,4.9,12012.2183,63749.59,HY,2024
57,301033,迈普医学,5745.4183,2416.3125,3427.9357,13784.9704,5.3112,79923.0325,1.56,758.9696,532.059,4747.6282,-30.31,69.921,0.0001,5.94,15820.3014,69966.4693,FY,2024
58,301033,迈普医学,3836.7078,2380.5473,3603.8897,15195.5769,15.3124,81596.9916,4.88,1096.5023,390.0419,3747.8975,-20.92,129.607,1126.1559,4.59,18236.5321,72795.4397,Q1,2025
59,301033,迈普医学,7595.2714,1636.6382,4139.9551,17935.7093,47.6608,84457.743,13.45,715.7805,241.8406,4551.4789,0.87,92.028,239.3689,5.39,19435.6892,75137.0764,Q3,2025
60,301033,迈普医学,5166.6818,1520.5043,3796.6678,15545.0323,47.6608,80509.9873,13.42,1315.5101,388.6955,4005.1096,15.06,211.0378,0.0036,4.97,16580.1998,71631.3993,HY,2025
61,300244,迪安诊断,420003.8342,995560.0759,143427.9229,45008.7698,8937.9349,2105596.939,,286645.8603,0,774795.6632,,17005.4099,194120.2715,36.8,482564.7225,744809.9901,FY,2022
62,300244,迪安诊断,384820.7531,1034947.6,156097.125,46111.8268,10574.5172,2116155.501,,249191.2543,13614.2211,732350.7702,,13614.2211,211628.361,34.61,498592.1215,756866.4321,Q1,2023
63,300244,迪安诊断,234121.4242,939009.3551,150372.7357,45053.9415,1186.1828,1874564.597,,199560.0193,14134.5908,522093.0409,,14134.5908,106184.0883,27.85,523153.0243,784647.5371,Q3,2023
64,300244,迪安诊断,317189.3488,966467.0424,150829.1999,36786.9839,11142.875,1978025.577,,204627.9022,15742.2628,585816.1388,,15742.2628,136897.9283,29.62,515394.4517,776115.2105,HY,2023
65,300244,迪安诊断,297333.2466,805420.0552,150894.8755,41830.3177,786.0974,1793931.126,-14.8,183917.0916,15404.4884,490478.0504,-36.7,15404.4884,93056.4678,27.34,484375.9154,756626.5439,FY,2023
66,300244,迪安诊断,227252.5116,833719.3237,155906.1495,40978.6195,885.2702,1785521.309,-15.62,183713.4382,15655.5413,487136.8831,-33.48,15655.5413,100202.3313,27.28,486692.9621,749759.3404,Q1,2024
67,300244,迪安诊断,137098.2095,836638.1925,179789.3773,35488.017,911.1326,1707568.484,-8.91,189774.4929,16489.6072,489728.7397,-6.2,16489.6072,89490.682,28.68,453992.6314,705716.7092,Q3,2024
68,300244,迪安诊断,177809.3501,856670.8589,160005.9531,39743.9857,449.2897,1754699.726,-11.29,197552.1575,13282.4913,503722.0052,-14.01,13282.4913,106737.4462,28.71,487833.8971,742883.2683,HY,2024
69,300244,迪安诊断,183031.7274,725889.768,163484.5996,38459.2135,996.9748,1578598.374,-12,167398.0622,14994.6015,468201.5772,-4.54,14994.6015,61621.8694,29.66,402975.4253,656430.2204,FY,2024
70,300244,迪安诊断,130352.027,727104.1136,162172.8975,39147.3064,1403.3392,1521041.605,-14.81,149841.2677,14882.26,428688.7991,-12,14882.26,69159.8079,28.18,400874.8688,654377.0939,Q1,2025
71,300244,迪安诊断,137214.6968,673597.195,154231.2816,50956.2445,1807.8611,1476501.676,-13.53,149873.0407,15706.4047,403151.4717,-17.68,15706.4047,68030.6562,27.3,393368.4234,646971.9556,Q3,2025
72,300244,迪安诊断,146815.2895,692990.3487,163282.7734,34742.8053,1396.4728,1508448.215,-14.03,155155.6655,15546.5212,420716.0091,-16.48,15546.5212,74310.4662,27.89,388725.6629,642329.1951,HY,2025
73,603127,昭衍新药,291684.7629,19943.6769,0.0009,40847.0725,0.0022,1036421.55,,0.0036,0.0038,94345.4659,,0.0038,-0.0006,9.1,72152.8227,687498.2079,FY,2022
74,603127,昭衍新药,296491.2277,17121.4182,239388.747,22876.3829,31019.8693,1054808.376,,6392.881,146251.3246,33139.2776,,146251.3246,0.0023,3.14,219373.1532,835503.1298,Q1,2023
75,603127,昭衍新药,304054.1368,16256.774,212774.127,21444.2027,31880.6608,1021931.004,,0.0036,0.0038,29485.2421,,0.0038,0.004,2.89,188234.0846,801801.4677,HY,2023
76,603127,昭衍新药,290429.7344,15569.7881,212313.5227,24507.5726,34136.1718,1023267.007,,6794.5521,137081.6838,30217.0028,,137081.6838,78.3813,2.95,211932.5812,823438.4077,Q3,2023
77,603127,昭衍新药,286291.1985,20601.4475,186308.1945,37335.4146,0.0022,1002715.963,-3.25,0.0036,0.0038,146736.5089,55.53,0.0038,-0.0002,14.63,216397.1461,827931.5724,FY,2023
78,603127,昭衍新药,286531.4156,18979.5168,169474.2248,44195.9029,36662.8531,973325.4487,-7.72,4109.0088,123860.7002,23696.2784,-28.49,123860.7002,56776.7719,2.43,189174.8986,799314.4601,Q1,2024
79,603127,昭衍新药,215819.5145,20239.6325,163214.4112,122805.3473,30921.9257,966127.3689,-5.46,0.0036,0.0038,22783.7448,-22.73,0.0038,0.0043,2.36,187425.1942,791601.2413,HY,2024
80,603127,昭衍新药,0.0007,21304.167,163179.3427,138219.7887,32364.5798,952518.4808,-6.91,3930.5321,106404.6398,23564.3339,-22.02,106404.6398,2.761,2.47,197412.0133,800243.5682,Q3,2024
81,603127,昭衍新药,-0.0066,18116.7884,147854.7178,0.0274,36892.7207,939615.261,-6.29,0.0036,0.0038,3634.9611,-97.52,0.0038,-0.0004,0.39,82218.9193,678272.4654,FY,2024
82,603127,昭衍新药,67657.1156,17891.2079,152840.4535,149507.1028,39462.9148,942465.861,-3.17,4453.7301,87130.6662,131545.2686,455.13,87130.6662,37337.8624,13.96,213608.8558,810883.6283,Q1,2025
83,603127,昭衍新药,-0.0031,15915.4672,156096.8955,150383.2763,28653.8079,947346.2262,-1.94,0.0036,0.0038,20124.7346,-11.67,0.0038,0.2025,2.12,213351.6237,810469.6831,HY,2025
84,603127,昭衍新药,90206.0509,14840.9685,157408.6005,157518.989,29348.7607,953338.2709,0.09,5454.6283,97896.5145,19188.6482,-18.57,97896.5145,48.7607,2.01,215328.9905,812065.259,Q3,2025
85,603259,药明康德,798574.1394,597277.781,-566859.4795,200,747330.541,6469032.675,,164069.3872,2.98,-491089.8785,,249663.659,387411.9856,-7.59,265548.9102,64992.375,FY,2022
86,603259,药明康德,986909.1597,662520.0536,584313.1558,8072.6584,779072.2053,6818808.863,,200758.4836,,1578621.571,,358686.1136,418690.416,23.15,2130460.343,,Q1,2023
87,603259,药明康德,958668.1449,780464.1173,571549.565,8160.8172,722822.3735,6931913.373,,204329.6212,36.5528,-561034.1351,,318840.9563,401731.7063,-8.09,3149.7968,3024968.11,HY,2023
88,603259,药明康德,944856.1845,760562.7345,529344.0871,321007.2027,761276.7739,7175928.124,,220139.4873,,1697913.157,,229718.1339,463111.7063,23.66,2456379.867,5198840.239,Q3,2023
89,603259,药明康德,1376405.867,790138.0299,-473622.9956,1100.3188,698239.2941,7366934.931,13.88,164532.1547,0.002,1475629.617,400.48,195536.3182,366705.968,20.03,289236.0118,3281416.232,FY,2023
90,603259,药明康德,1572557.026,696883.4889,-504797.3508,50307.375,671341.0097,7493984.774,9.9,169871.8898,,1338743.288,-15.2,216251.2791,291160.7356,17.86,2771568.972,5604829.701,Q1,2024
91,603259,药明康德,1467209.374,761377.4075,-523193.3571,0.0002,666840.066,7439732.866,7.33,198081.4622,0.0001,1364837.545,343.27,252271.203,289008.0979,18.35,1293.9814,2815131.777,HY,2024
92,603259,药明康德,1405154.121,801454.3782,-534779.2758,1100.3188,602641.3202,7423823.988,3.45,199832.9645,,1292742.11,-23.86,247138.5962,270498.9654,17.41,2942436.289,5558324.21,Q3,2024
93,603259,药明康德,1832203.407,795170.0879,-539974.7062,123398.3964,596579.4322,8032582.441,9.04,175006.0617,0.0341,763504.317,-48.26,225102.501,124268.9654,9.51,301717.3789,2993137.997,FY,2024
94,603259,药明康德,2485114.443,731769.3605,-649175.7171,90098.063,637535.7425,8451208.809,12.77,219013.1253,,1887380.507,40.98,234978.2751,479346.1369,22.33,3567960.151,6277876.176,Q1,2025
95,603259,药明康德,2148519.84,703234.2936,-715121.4786,294241.9172,661694.0096,8382377.99,12.67,215884.9287,10629.9635,1074757.348,-21.25,222707.8535,579735.3028,12.82,113606.3767,2499187.299,HY,2025
96,603259,药明康德,2943876.396,844008.8869,-784374.4999,356095.1646,584828.8554,9460613.542,27.44,227267.2132,,1943825.53,50.36,256567.3752,528154.7061,20.55,3912934.81,7147249.731,Q3,2025
97,688222,成都先导,35800.2604,9690.4322,0.0009,54204.9778,0.0022,166899.0981,,477.6176,0.0038,4468.8541,,0.0038,0.0005,2.68,20934.3137,138041.3023,FY,2022
98,688222,成都先导,27009.292,7309.7114,2928.1806,62242.5917,0.0023,165672.973,,1316.5679,2257.3705,7753.0574,,2257.3705,9.5847,4.68,12990.8138,129062.2121,Q1,2023
99,688222,成都先导,28040.424,7895.0724,2827.2549,61026.4111,0.0084,169353.1739,,0.0036,0.0038,27068.3871,,0.0038,0,15.98,14512.2776,132760.0644,HY,2023
100,688222,成都先导,30908.8286,8568.0275,2830.2025,60454.9556,27.8702,169584.7524,,1440.2582,1362.736,6841.3002,,1362.736,1328.7006,4.03,15758.8302,133414.012,Q3,2023
101,688222,成都先导,37739.8359,9682.2079,2817.7254,58009.6583,0.0022,165510.8675,-0.83,836.3124,0.0038,26058.2966,483.11,0.0038,0.0002,15.74,17584.651,135812.4788,FY,2023
102,688222,成都先导,47369.0627,7463.1842,3001.0252,51008.3889,3489.4745,173857.1859,4.94,1252.8425,1580.3175,8018.834,3.43,1580.3175,0.0306,4.61,18978.6539,137349.0952,Q1,2024
103,688222,成都先导,44290.3299,6070.437,2945.6171,50008.1111,0.0022,170135.2991,0.46,0.0036,0.0038,25675.4379,-5.15,0.0038,0,15.09,16607.2142,135329.7559,HY,2024
104,688222,成都先导,43260.8851,8281.432,2992.5759,51000,3153.97,172249.6579,1.57,1358.8529,2106.233,25147.3462,267.58,2106.233,1462.2122,14.6,18599.4696,137832.6365,Q3,2024
105,688222,成都先导,50560.0712,7070.9506,3644.5671,50297.0139,6380.5801,180916.0584,4.06,2475.1625,2317.2578,20671.4523,157.79,2317.2578,5.1776,11.43,23008.0819,,Q1,2025
106,688222,成都先导,46218.4981,9925.2109,0.001,50003.2639,0.0022,175651.6608,6.13,0.0036,0.0038,14491.3105,-44.39,0.0038,0.0001,8.25,27577.8071,145770.679,FY,2024
107,688222,成都先导,52435.5515,7168.9508,4002.6663,48200.5333,9726.9476,184237.2484,8.29,123.9038,0.0038,17388.4275,-32.28,0.0038,1348.9454,9.44,22787.1981,142801.87,HY,2025
108,688222,成都先导,60289.8638,11114.1924,-4020.5591,44667.8632,11781.6281,193564.1586,12.37,2514.3167,3926.3247,-19055.9884,-175.78,3926.3247,1000,-9.84,-27070.2136,147058.4379,Q3,2025
109,688276,百克生物,86654.3102,96840.6297,16852.7213,79.8474,103678.2063,452448.6571,,1214.9016,864.5277,69877.8246,,864.5277,0.2018,15.44,124173.0313,381885.2315,FY,2022
110,688276,百克生物,79355.091,87693.8102,20178.1685,0.2023,95851.9509,421609.1145,,3250.4452,197.2953,616.6391,,197.2953,2710.7953,0.15,126943.0965,385557.3288,Q1,2023
111,688276,百克生物,57247.357,92253.4915,24131.8192,0,122571.1257,442669.285,,-0.0036,-0.0038,654.8572,,-0.0038,5227.6122,0.15,105090.4577,362638.2199,HY,2023
112,688276,百克生物,45940.6167,136508.5229,20115.1711,0.001,111721.3731,479255.9889,,1771.0845,499.5515,623.6022,,499.5515,18269.5776,0.13,127061.4326,384879.6118,Q3,2023
113,688276,百克生物,44217.9928,156365.9195,19901.7837,0.0182,110110.6244,504623.7663,11.53,-0.0036,-0.0038,1101.022,-98.42,-0.0038,-0.0032,0.22,161121.9679,431793.7847,FY,2023
114,688276,百克生物,39247.86,158914.3643,23297.3922,218.4122,114968.8639,509069.9598,20.74,2350.1514,131.2988,1071.7228,73.8,131.2988,6540.4085,0.21,139324.1516,407933.7808,Q1,2024
115,688276,百克生物,35686.578,153598.1091,27221.5406,0.0001,117838.7858,513494.7613,16,-0.0036,-0.0038,5248.9284,701.54,-0.0038,-0.0032,1.02,140823.2308,411821.8253,HY,2024
116,688276,百克生物,27788.9806,166621.8246,19726.9758,218.4122,134185.9287,531395.6757,10.88,1375.0407,230.5894,4709.9864,655.29,230.5894,2580.9438,0.89,151499.7631,420007.5902,Q3,2024
117,688276,百克生物,34486.9136,140566.6599,17077.6028,0.05,138452.6351,520486.8838,3.14,-0.0036,-0.0038,91706.6484,8229.23,-0.0038,-0.0032,17.62,-0.006,89.5889,FY,2024
118,688276,百克生物,22410.367,136440.4498,21119.5454,0.0101,146138.315,535218.688,5.14,1829.4526,97.0006,9190.2056,757.52,97.0006,9315.9949,1.72,145652.2384,421517.0361,Q1,2025
119,688276,百克生物,24675.9294,117669.2608,27875.3114,0.0068,-0.0022,526468.7273,2.53,-0.0036,-0.0038,11737.2381,123.61,-0.0038,-0.0032,2.23,131197.6544,407131.2487,HY,2025
120,688276,百克生物,15733.4914,118306.0099,23248.4518,0.006,153857.8127,521019.6644,-1.95,2520.2327,105.0742,7970.9966,69.24,105.0742,20418.6411,1.53,122729.9452,395759.9233,Q3,2025
