serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,002821,凯莱英,-1813855380,,328691.0706,-154.53,1001779.459,-467141.5482,219.62,995850.2437,736624.1337,0,37457,-74252.6521,34.91,FY,2022
2,002821,凯莱英,961020258.7,,130352.5264,95.84,275521.2399,-32721.8214,-24.06,842157.0566,836885.6153,130352.5264,0.6153,38384.1586,28.22,Q1,2023
3,002821,凯莱英,1487527814,,286425.46,196.95,648525.9541,-89504.866,-61.55,4888.1082,13630.1486,69.6966,37457,-51493.235,-35.41,Q3,2023
4,002821,凯莱英,1133950181,,225318.2473,207.28,466465.3699,-69588.9407,-64.02,1869372.365,1835808.235,174009.4353,37457,-47029.3966,-43.27,HY,2023
5,002821,凯莱英,353433505.3,119.49,354972.8383,1121.66,836252.3286,-269122.8998,-850.39,2927766.755,2752642.492,1222.797,37457,-54202.9349,-171.27,FY,2023
6,002821,凯莱英,3058460.18,-99.68,49066.6474,-3885.95,174247.4952,-28460.3127,2253.99,332274.1909,333850,7580.5241,0.0013,-21869.0011,1731.97,Q1,2024
7,002821,凯莱英,-1934085728,-230.02,105285.9875,-54.24,458233.4555,-109112.1996,56.21,24000,6244.3454,3121.5595,0.3473,-190298.4839,98.03,Q3,2024
8,002821,凯莱英,-1186461554,-204.63,87355.9253,-70.13,330365.9808,-70076.7287,56.25,657132.827,669344.357,0.0001,3.1294,-141849.3754,113.87,HY,2024
9,002821,凯莱英,-1762402166,-598.65,125433.7015,-67.5,615341.2205,-118433.3428,63.74,1014294.907,1018250.816,1222.797,879.2776,-192818.66,103.77,FY,2024
10,002821,凯莱英,1307854379,42661.86,44934.1852,34.89,179977.3357,84398.6349,65.54,199287.0856,301858.8152,146987.9232,0.0097,-556.1096,-0.43,Q1,2025
11,002821,凯莱英,711136023.7,136.77,114415.8625,161.17,503716.8978,-11342.9854,-15.98,24000,12110.3847,0.2025,105285.9875,-32080.742,-45.19,Q3,2025
12,002821,凯莱英,1632244909,237.57,70172.1282,42.97,321469.1426,107080.3477,65.57,607274.2166,750650.0589,48.0673,77.9241,-13940.9335,-8.54,HY,2025
13,300347,泰格医药,-595676793,,135750.0892,-218.03,662318.3534,-278936.5863,448.01,220332.4983,42393.147,344141.3597,183469.726,80925.3912,-129.98,FY,2022
14,300347,泰格医药,-227954720.8,,2850.8219,-13.15,152558.8216,-54751.2822,252.49,71666.5838,22629.2373,46040.0908,17015.6794,30216.1242,-139.35,Q1,2023
15,300347,泰格医药,-422792070.3,,67264.4482,-151.16,504327.582,-159250.4849,357.87,173592.0304,65578.7863,280714.5395,184511.9105,47486.1242,-106.71,Q3,2023
16,300347,泰格医药,313430804.1,,37504.1255,130.43,331008.2307,-70855.992,-246.41,95608.8659,34963.9774,145585.0834,89684.1185,62107.0203,215.99,HY,2023
17,300347,泰格医药,-382799517.2,35.74,115043.7942,-293.78,680404.3815,-153422.4742,391.79,214206.4125,117392.5796,320052.3135,251674.8688,-780.606,1.99,FY,2023
18,300347,泰格医药,21838606.76,109.58,14420.446,535.82,147694.0314,-11971.6564,-444.83,17050.1193,15215.8472,37300.8,8289.696,242.4772,9.01,Q1,2024
19,300347,泰格医药,-5438054514,-1186.22,57876.961,-10.69,485612.6172,-572311.69,105.66,609118.586,61902.5447,284351.6598,203540.6824,-27200.1686,5.02,Q3,2024
20,300347,泰格医药,-4236798441,-1451.75,17732.8385,-4.18,305632.2443,-462181.0703,109.05,473348.9965,28689.9076,151531.84,74270.5524,20621.0011,-4.87,HY,2024
21,300347,泰格医药,-5351447517,-1297.98,109700.1904,-20.53,678511.921,-473912.2414,88.67,617606.7437,208850.7799,337945.8927,388022.2822,-170241.0228,31.85,FY,2024
22,300347,泰格医药,-558841014.4,-2658.96,19793.4614,-35.11,163027.3549,-65786.9238,116.68,74779.3522,11761.6399,55535.6,31900.7748,-10386.5806,18.42,Q1,2025
23,300347,泰格医药,-448588449.3,91.75,73955.763,-163.79,531797.9333,49370.6798,-109.34,113816.1366,177763.4145,104498.6872,217023.097,-168478.8364,373.13,Q3,2025
24,300347,泰格医药,-358081180.8,91.55,40861.9008,-109.71,337783.0011,4589.0056,-12.32,87438.9322,102947.5121,100979.6907,123520.5516,-82695.0321,222.04,HY,2025
25,301080,百普赛斯,-1091926440,,20218.9111,-18.41,48869.8757,-117643.2449,107.11,370308.0008,278947,0.2022,47443.0912,-12410.505,11.3,FY,2022
26,301080,百普赛斯,-65612292.06,,4367.9159,-67.96,14015.0234,-10363.0241,161.23,76479.8335,67644.6475,67.9159,67644.6475,-432.336,6.73,Q1,2023
27,301080,百普赛斯,-142651410.1,,6621.202,-44.72,40180.2678,-7761.0775,52.42,98121.2038,97444,2673.9784,2.7243,-13664.969,92.3,Q3,2023
28,301080,百普赛斯,-40693037.82,,6125.7368,-135.56,26440.3158,2400.1536,-53.11,76277.2979,83308.8892,-5.7392,11720.699,-13044.7064,288.68,HY,2023
29,301080,百普赛斯,-122201928.6,88.81,11119.8021,-81.73,55170.1998,-9131.8144,67.12,127279.0795,127298.0247,600,12000,-15592.9797,114.61,FY,2023
30,301080,百普赛斯,-55219943.15,15.84,3206.2883,-54.64,15925.365,-9870.8255,168.21,65940.6539,56547.7867,2450,5.1333,796.3432,-13.57,Q1,2024
31,301080,百普赛斯,-172951949.9,-21.24,8870.5739,-51.24,45950.2848,-15037.2678,86.86,98012.8797,94990.5824,5490,1000,-11144.4911,64.38,Q3,2024
32,301080,百普赛斯,-61656086.55,-51.52,3548.456,-57.4,29942.221,-11146.8305,180.32,61337.7928,55518.3235,3930,0.2024,1416.7758,-22.92,HY,2024
33,301080,百普赛斯,146730731.2,220.07,8470.6738,60.91,65616.017,11284.5717,81.14,115634.3316,143332.4234,9745.7314,1600,-5847.598,-42.05,FY,2024
34,301080,百普赛斯,-294170717.4,-432.73,3344.4973,-11.5,18913.2291,-24513.1492,84.26,80559.1116,58068.2565,2450,3724.6514,-7924.9612,27.24,Q1,2025
35,301080,百普赛斯,-75766739.94,56.19,17700.2426,-239.89,63778.2265,-6225.9845,84.38,34170.5974,30956.5295,2250,8745.7314,-18852.7775,255.51,Q3,2025
36,301080,百普赛斯,118662303,292.46,7667.7183,64.73,39212.6974,13988.6128,118.09,115954.7382,134346.2871,1800,6900.7314,-9810.2188,-82.81,HY,2025
37,301096,百诚医药,-797933629.3,,25941.3421,-32.51,54157.4942,-69087.1343,86.58,7612.2268,0.0085,30000,56697.2,-36647.5707,45.93,FY,2022
38,301096,百诚医药,34640839.1,,-336.7416,-9.72,14139.3291,-20928.49,-604.16,932.4,704.2432,25000,22500,24729.3155,713.88,Q1,2023
39,301096,百诚医药,-381378561.1,,3353.5645,-8.79,46864.7885,-57721.3377,151.37,5377.4,1000,29000,26376.544,16236.2434,-42.58,Q3,2023
40,301096,百诚医药,-194242251.2,,17.6867,-0.09,31686.9545,-38270.7078,197.09,3951.8,1165,28000,22500,18834.9102,-97,HY,2023
41,301096,百诚医药,-432615166.6,45.78,9045.3414,-20.92,68713.3186,-76741.5794,177.45,5229.4,5000,46900,10000,24448.1714,-56.53,FY,2023
42,301096,百诚医药,-93802396.42,-370.79,-12197.5609,130.04,10205.1443,-23307.2878,248.48,500,0.0011,51400,24950.4992,26124.748,-278.51,Q1,2024
43,301096,百诚医药,-553110789.6,-45.03,-18305.5561,33.1,41900.3596,-56342.8404,101.87,2311.6,136.4264,66440,43500,19337.1455,-34.96,Q3,2024
44,301096,百诚医药,-212817109.8,-9.56,-9488.8216,44.59,28070.9542,-38268.2583,179.82,1500,1165,65440,35000,26475.4142,-124.4,HY,2024
45,301096,百诚医药,-362291368.9,16.26,-19585.6926,54.06,57515.8617,-46453.746,128.22,6111.6,5000,124433.732,90550,29809.0051,-82.28,FY,2024
46,301096,百诚医药,-43192043.22,53.95,-7002.9881,162.25,9867.6391,-8878.5905,205.71,500,9867.6391,20000,8000,11565.4152,-267.96,Q1,2025
47,301096,百诚医药,-59048732.31,89.32,-17978.5617,302.87,23705.7559,-18848.2691,317.52,1663.4377,136.4264,81678.2343,49158.2343,30890.682,-520.38,Q3,2025
48,301096,百诚医药,-16359829.54,92.31,-11441.9239,685.71,19716.6542,-13617.2912,816.07,665,309.8161,51000,26640,23390.5806,-1401.78,HY,2025
49,301033,迈普医学,34605263.28,,4830.9238,152.71,21249.8174,1855.2749,58.65,97916.772,113707.1759,0,2451.1071,-3522.8017,-111.36,FY,2022
50,301033,迈普医学,-31925042.71,,1943.4599,-61.28,5354.0765,-2463.3769,77.67,15756,13925.0036,0.0004,2546.5189,-2651.6943,83.61,Q1,2023
51,301033,迈普医学,-5917911.92,,7134.6936,-1175.2,16370.3836,-3622.9354,596.75,43736,43154.4785,0.0077,2546.5189,-4118.8654,678.44,Q3,2023
52,301033,迈普医学,-30203921.15,,3675.6765,-120.69,10532.936,-2692.2059,88.4,27200,26070.2461,0.002,2546.5189,-4029.0357,132.29,HY,2023
53,301033,迈普医学,-18086158.96,-152.26,10768.6557,-594.61,23666.752,-8189.9672,452.22,61692.2,57508.0191,25,2675.4915,-4389.7311,242.39,FY,2023
54,301033,迈普医学,22709731.27,171.13,1588.8191,69.92,6647.6629,1681.8004,74.01,8910,11627.2061,2298.1412,2546.5189,-998.3352,-43.94,Q1,2024
55,301033,迈普医学,15119044.1,355.48,6337.7355,422.13,21922.9236,3192.1441,212.62,29472.59,35226.0182,0.2024,5029.9348,-8028.5262,-534.75,Q3,2024
56,301033,迈普医学,5356919.7,117.74,3439.9394,669.25,14124.0175,5982.752,1163.97,17980,26203.3917,22.1388,5029.9348,-8908.6952,-1733.22,HY,2024
57,301033,迈普医学,26540991.09,246.75,11638.4353,441.1,30452.3589,-832.9929,-31.57,41169.692,43649.9839,25,5029.9348,-8166.9568,-309.53,FY,2024
58,301033,迈普医学,-28923032.77,-227.36,2920.4747,-100.39,8055.6138,-5778.6573,198.63,21731.9275,16403.4454,7.2731,0.0032,-51.0502,1.75,Q1,2025
59,301033,迈普医学,-11110882.4,-173.49,8375.8189,-722.84,27970.3272,-6764.738,583.8,52498.5192,47521.7471,6.0787,5029.9348,-2769.8233,239.04,Q3,2025
60,301033,迈普医学,-23774815.15,-543.82,5652.0953,-232.88,18304.9028,-4030.295,166.06,37565.4794,34489.2252,5181.6913,5029.9348,-4048.8143,166.82,HY,2025
61,300244,迪安诊断,2001990148,,163936.4992,82.17,1756375.124,-107243.3923,-53.75,103361.0001,87385.8883,603188.8,443915.7631,142818.1176,71.58,FY,2022
62,300244,迪安诊断,-606811115.5,,-22872.5676,37.81,357409.5871,-7505.9603,12.41,27885.6012,26732.512,12605.2063,33815.7835,-30107.9036,49.78,Q1,2023
63,300244,迪安诊断,-1926373058,,36680.9424,-19.04,1177685.558,-33563.4842,17.42,94935.4446,93184.8525,104348.1937,261535,-195758.9251,101.62,Q3,2023
64,300244,迪安诊断,-1291174622,,2785.2212,-2.16,804733.166,-9703.0097,7.52,44434.1012,51566.8525,67148.604,160735.5221,-122183.7052,94.64,HY,2023
65,300244,迪安诊断,-1196908409,-159.79,192135.4006,-160.37,1713366.835,-68674.207,57.32,96703.6395,102448.4071,207432.116,410540.9437,-243271.7945,203.05,FY,2023
66,300244,迪安诊断,-693428238.3,-14.27,-26694.5834,38.64,288348.3282,-45963.9092,66.53,53984.2824,13200.5321,48350,30620,3566.8499,-5.16,Q1,2024
67,300244,迪安诊断,-1597429743,17.08,5420.0048,-3.4,942142.2158,-62252.3225,39.1,97500.795,51655.8477,143417.6908,152925.3561,-102364.4866,64.3,Q3,2024
68,300244,迪安诊断,-1172268334,9.21,-27892.4539,23.81,597907.0135,-55273.9382,47.19,83048.6978,36837.5448,76687.746,75159.2638,-33957.0458,28.99,HY,2024
69,300244,迪安诊断,-1159850535,3.1,120739.5648,-103.89,1348341.989,-53524.25,46.06,93157.4994,67528.79,191208.1359,240925.5236,-183431.9138,157.84,FY,2024
70,300244,迪安诊断,-508984975.5,26.6,-16921.6516,33.26,237034.7916,-7904.7843,15.54,11645,10788.4103,21954.7503,37891.9873,-26048.2227,51.2,Q1,2025
71,300244,迪安诊断,-443318249.8,72.25,87171.5623,-197.67,834145.2224,-32326.5736,73.3,49921.2379,36812.3024,124051.0208,178285.2974,-98945.2791,224.36,Q3,2025
72,300244,迪安诊断,-347084884.5,70.39,27770.8584,-80.23,538291.0991,-11152.3612,32.22,24612.7048,27661.759,84331.0004,101667.874,-51234.4824,148.01,HY,2025
73,603127,昭衍新药,653319.01,,0.0001,25,0,0.0001,25,109019.6222,86530.868,5544.9665,5887.4454,0.0002,50,FY,2022
74,603127,昭衍新药,61682309.41,,-1366.8184,-20.11,61316.7483,10647.6213,156.68,6000,20671.8986,56894.1869,86.1696,-2485.2352,-36.57,Q1,2023
75,603127,昭衍新药,97031305.29,,60.3127,100,0,0.0003,0,17500,30149.6757,0.0622,681.5335,0.0003,0,HY,2023
76,603127,昭衍新药,-8194783.6,,44844.0218,-2038.67,179765.0009,-13714.7756,623.49,42607.65,50149.6757,1917.3126,687.3351,-33328.9198,1515.18,Q3,2023
77,603127,昭衍新药,60,-99.99,0.0002,0,0,0.0002,0,64735.175,58149.6757,5544.9665,689.4875,23.7649,100,FY,2023
78,603127,昭衍新药,11667128.38,-81.09,11995.3519,100,47410.0914,0,0,12000,9077.1222,746.8233,86.1696,0,0,Q1,2024
79,603127,昭衍新药,-695451883,-816.73,60.3127,99.67,0,0.2024,0.33,253012.9154,171788.5508,0.0087,681.5335,0.0001,0,HY,2024
80,603127,昭衍新药,-1013522516,-12267.9,19232.5709,-19.11,130292.2496,-95005.0767,94.39,327012.9154,230788.5508,8475.9682,687.3351,-24882.8092,24.72,Q3,2024
81,603127,昭衍新药,79,31.67,0.0002,0,0.0001,20.1833,-0.06,505913.4713,316088.5508,0.0004,689.4875,-36167.7897,100.06,FY,2024
82,603127,昭衍新药,-288629929.3,-2573.87,6514.9201,-22.66,39300.9966,-33395.9778,116.17,90475.9051,61199.8,36465.5756,6514.9201,-1866.5128,6.49,Q1,2025
83,603127,昭衍新药,29,100,60.3127,100,0,0.0002,0,138418.4775,101791.1292,0.0001,0.0001,0.0023,0,HY,2025
84,603127,昭衍新药,-63142619.75,93.77,26639.1149,-464.74,127314.7554,-26472.2612,461.83,211058.4775,190379.5692,26639.1149,2238.5229,-5898.8546,102.91,Q3,2025
85,603259,药明康德,-191431703.3,,4589288733,-232.54,3996215.972,-4838953001,245.19,145182.9215,153346.6952,333200.3492,166404.561,-1723913852,87.35,FY,2022
86,603259,药明康德,1883939746,,302732.9258,154.98,969030.1768,-122288.1148,-62.6,18292.0907,24487.7502,250356.3304,225539.6063,14890.2292,7.62,Q1,2023
87,603259,药明康德,37809636.54,,559818.0734,138.7,1875434.558,-156210.7791,-38.7,27684.2817,105606.015,479658.2287,460110.6919,4.8522,0,HY,2023
88,603259,药明康德,1462447448,,1031678.786,838.19,2915688.25,-578196.5276,-469.76,366719.0618,144405.243,616223.8486,539698.0526,-330398.742,-268.43,Q3,2023
89,603259,药明康德,2017134529,1153.71,1338691.178,710.18,3935849.189,-756053.3564,-401.09,492132.9148,260026.6757,684397.5151,666576.0526,-394138.3685,-209.09,FY,2023
90,603259,药明康德,1515922444,-19.53,225711.7808,166.03,967739.8844,-85438.2855,-62.85,223298.391,204785.8308,292064.0979,154663.3304,-4329.4979,-3.18,Q1,2024
91,603259,药明康德,-289367528.2,-865.33,496629.4187,-1056.35,1900864.725,-197474.1337,420.04,379608.8511,315931.7206,555941.0201,419745.2235,-346168.8152,736.32,HY,2024
92,603259,药明康德,-729436079.4,-149.88,837909.2385,-1163.75,2935912.901,-319421.6873,443.64,622174.4534,526673.3484,826572.7337,695791.3214,-590488.4478,820.11,Q3,2024
93,603259,药明康德,3443672406,70.72,13386911779,710.18,4102317.154,-7560533564,-401.09,1350266.715,1149006.961,826842.7337,847015.9769,-3941383685,-209.09,FY,2024
94,603259,药明康德,6570144266,333.41,319542.9862,48.19,1088789.583,219975.6196,33.17,114455.5939,280164.2394,476712.6049,340872.0027,123603.6632,18.64,Q1,2025
95,603259,药明康德,4107772605,1519.57,743098.1532,172.36,2271090.711,180954.1633,41.97,425878.2879,684702.3306,767720.8917,522265.7872,-492932.7309,-114.34,HY,2025
96,603259,药明康德,12031245676,1749.39,1141283.467,93.24,3432753.273,40496.3672,3.31,878358.4478,1116398.314,1157575.014,871879.7499,42265.7303,3.45,Q3,2025
97,688222,成都先导,10879580.05,,5273.7056,-428.34,28440.4566,-1667.6917,135.45,240861.4227,245800,10050,1748.5932,-4837.2165,392.89,FY,2022
98,688222,成都先导,-89305620.5,,1977.9298,-22.88,9836.061,-10330.9465,119.52,62374.165,54200,88.9534,1000,-290.3899,3.36,Q1,2023
99,688222,成都先导,-77789538.65,,2784.0103,-32.68,17449.5556,-9937.7739,116.66,123858.7825,116400,0.004,71.4102,-1365.0633,16.02,HY,2023
100,688222,成都先导,-51118906.53,,6579.4136,-118.39,25888.2808,-10412.7887,187.38,132058.7825,125400,24421.2859,71.4102,-1723.8002,31.02,Q3,2023
101,688222,成都先导,16226294.29,49.14,12520.858,781.29,37726.3203,-8414.1122,-525.03,0.0078,191200,0.0019,554.601,-2504.1486,-156.26,FY,2023
102,688222,成都先导,94518666.79,205.84,4086.5612,43.36,11466.0168,5642.8214,59.87,51177.67,58000,0.6212,280.8617,-303.5925,-3.22,Q1,2024
103,688222,成都先导,78,100,7301.8962,109.6,21942.9175,2702.7851,40.57,101355.4125,109000,0.0031,171.088,-3342.1319,-50.16,HY,2024
104,688222,成都先导,56362049.27,210.26,9896.3886,167.05,30845.667,-68.7586,-1.16,152987.9125,159000,100,171.088,-3903.3991,-65.89,Q3,2024
105,688222,成都先导,44681978.51,-52.73,10673.6383,100,14162.7087,0,0,598.7275,58000,700,2.5,0,0,Q1,2025
106,688222,成都先导,87965277.56,442.12,0.0879,17.84,0,0.2024,41.08,0.0078,0.0078,100,558.596,0.2024,41.08,FY,2024
107,688222,成都先导,79,1.28,11060.6761,100,26037.0138,0.0338,0,48598.7275,50000,3500,174.348,0.0114,0,HY,2025
108,688222,成都先导,139207431.4,146.99,16214.3984,116.1,38329.8975,-4124.8867,-29.54,96776.63,101500,5900,194.348,1876.5457,13.44,Q3,2025
109,688276,百克生物,-288516917,,-132.3533,0.45,93273.8456,-24867.219,85.37,6600,335.5589,6750.1462,6750.1462,-4128.407,14.17,FY,2022
110,688276,百克生物,-72992191.74,,-458.5539,6.28,18873.8706,-6834.5014,93.63,1200,201.6,0.0009,0.0002,-6.1639,0.08,Q1,2023
111,688276,百克生物,50,,7446.7226,99.99,45822.3911,0.2023,0,16200,201.6,10000,4772.3878,0.2023,0,HY,2023
112,688276,百克生物,-407136935.3,,11976.4591,-29.36,76853.0316,-49094.4106,120.35,16800,201.6133,12644.0126,12644.0126,-3675.9506,9.01,Q3,2023
113,688276,百克生物,10,100,0.0013,0,0,18.2469,50,16800,201.6133,19691.2145,17644.0126,18.2469,50,FY,2023
114,688276,百克生物,-49701327.86,31.91,-793.9865,15.94,25365.602,-8629.2353,173.22,1200,0.0006,8023.3075,3530.1009,4441.5955,-89.16,Q1,2024
115,688276,百克生物,-85314148.61,-170628397.2,8450.4477,-98.38,59384.9083,-21234.8125,247.22,16200,94.129,18667.9815,10070.5093,4194.7676,-48.84,HY,2024
116,688276,百克生物,-164290122.1,59.65,22910.4857,-139.04,94356.0341,-39161.5342,237.67,16800,94.129,25607.709,21396.6569,-226.3356,1.37,Q3,2024
117,688276,百克生物,528.02,5180.2,0.0005,7.46,0,0.0031,46.27,16800,94.129,33684.1569,25448.4808,0.0031,46.27,FY,2024
118,688276,百克生物,-120765466.4,-142.98,-6880.5374,56.99,17647.3732,-12375.1836,102.51,5000,0.002,7239.3031,3530.1009,7183.4374,-59.5,Q1,2025
119,688276,百克生物,-92474726.6,-8.39,0.0076,79.17,0,0.001,10.42,5000,94.129,19242.9017,3187.5963,0.001,10.42,HY,2025
120,688276,百克生物,-181794232.1,-10.65,-1489.9352,8.2,71550.1143,-28679.1093,157.77,5000,94.129,26908.4836,7582.5726,11991.2179,-65.97,Q3,2025
