serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,002821,凯莱英,329463.0548,,3563.759,1025532.539,,539759.8115,15018.9556,80552.417,-49817.6012,70889.0863,5664.7371,662067.4062,373078.0159,372494.42,-336.3844,-2242.5585,FY,2022
2,002821,凯莱英,62789.0384,,1678.9853,224903.4498,,116039.3685,3381.6085,16567.1258,3687.0941,16209.6744,864.1461,156749.0175,70994.8637,70969.99,864.1461,1173.3333,Q1,2023
3,002821,凯莱英,220080.8678,,4119.4294,638305.7146,,292808.7441,13898.9429,56146.0389,-14889.533,51311.4161,5938.2485,405213.8575,248958.7256,248812.18,5938.2485,-1594.3979,Q3,2023
4,002821,凯莱英,168199.2031,,2875.9899,462151.0379,,216902.2833,8203.088,33515.08,-13601.7305,32347.0632,4126.4017,281492.1858,192979.9238,192847.96,-97.122,-1513.2643,HY,2023
5,002821,凯莱英,225081.9401,-31.68,5928.6061,782519.0298,-23.7,382180.0293,19642.4055,78847.2309,-14840.24,70786.3601,7445.2352,544061.0211,257079.2245,0,-2071.7642,-724.3101,FY,2023
6,002821,凯莱英,27952.9194,-55.48,1704.4519,139980.8312,-37.76,79059.9377,4462.168,17260.4874,-7830.819,16944.2436,4102.6695,113998.6871,29468.8698,29466.37,79059.9377,152.8075,Q1,2024
7,002821,凯莱英,70017.9181,-68.19,2811.1767,414028.8578,-35.14,233493.2347,16722.2158,53508.6893,-17334.1646,48413.8519,7239.1395,342042.9667,76146.4727,75915.47,-1268.0701,-907.2204,Q3,2024
8,002821,凯莱英,49241.5488,-70.72,2556.4151,269735.2097,-41.63,156034.4504,10242.2922,36204.4296,-18843.3788,32868.7274,5666.877,222173.3979,53293.3177,53265.19,-890.6937,643.9412,HY,2024
9,002821,凯莱英,93575.6164,-58.43,3928.8621,580465.7337,-25.82,334582.9993,24339.1018,82521.6243,-33075.0448,61449.0328,11274.416,481092.1293,107867.031,0,-7044.0668,-612.0487,FY,2024
10,002821,凯莱英,32457.1255,16.11,1772.5682,154121.5508,10.1,88562.9236,4415.4207,18368.6439,-4493.9637,13787.6669,1222.8336,121863.525,35863.7868,35725.11,-849.567,627.9909,Q1,2025
11,002821,凯莱英,79247.8501,13.18,5214.6161,462987.7131,11.82,266498.3605,15021.8669,58267.1329,-8976.0105,43307.1405,3519.2438,377637.734,91444.0801,90994.91,-1664.8779,-3331.0392,Q3,2025
12,002821,凯莱英,61315.1502,24.52,4330.4928,318830.6524,18.2,180171.8245,9094.7674,37861.7456,-6232.6992,28574.8242,2553.0923,252023.5547,70165.6669,0,-1309.9418,-2943.8664,HY,2025
13,300347,泰格医药,227172.5426,,3997.033,708547.1469,,427700.7584,14989.0387,63013.1943,-15812.3776,23461.9324,2301.8656,515654.4118,258239.8509,0,-241.5773,-2260.4827,FY,2022
14,300347,泰格医药,56832.566,,515.3375,180457.1375,,108904.89,4491.107,17092.3615,-1596.1061,6451.9362,684.9492,136029.1377,63089.7783,63106.21,-549.1837,-1523.7624,Q1,2023
15,300347,泰格医药,202784.6972,,1060.2089,565047.7938,,337092.0133,13270.3604,52754.3105,-10575.9423,19534.3151,2143.5986,414218.6555,231172.4273,231446.94,-1176.4402,-3357.9759,Q3,2023
16,300347,泰格医药,140808.9993,,889.6586,371085.0372,,222976.3452,8899.8358,34647.0988,-8809.4581,12808.2458,1480.4829,272002.5505,159859.7788,159914.51,-821.8437,-2155.9038,HY,2023
17,300347,泰格医药,214992.6844,-5.36,3436.6177,738403.9461,4.21,453551.0633,18731.4823,65020.1401,-10832.3964,26155.513,2786.669,555412.4714,248694.0557,33817.53,-2972.5239,-3837.2977,FY,2023
18,300347,泰格医药,31257.0373,-45,1536.9746,166020.4321,-8,103208.067,4645.231,17706.8491,-2192.0358,6390.6153,770.0539,130528.7804,36219.6228,36236.42,-775.233,-1065.2197,Q1,2024
19,300347,泰格医药,90313.5477,-55.46,2160.6421,506761.536,-10.32,309733.3423,14493.5323,55842.6318,3137.108,17209.876,2238.5614,402655.0519,108499.5901,108706.5,-1065.73,-4443.9217,Q3,2024
20,300347,泰格医药,55757.8694,-60.4,1734.8696,335824.4223,-9.5,202519.6634,10137.789,37661.5946,-1610.8729,12469.4223,1449.3882,262626.9846,68706.942,7074.35,-842.4529,-2765.9162,HY,2024
21,300347,泰格医药,44783.1287,-79.17,3685.0266,660312.0163,-10.58,436110.6946,20760.7782,73684.2478,3806.7033,23838.5546,2803.822,561004.8005,66441.9012,0,125.4555,-3527.5311,FY,2024
22,300347,泰格医药,10998.0848,-64.81,1290.7752,156414.3615,-5.79,109438.2708,4869.5859,18048.7116,3174.8446,5907.5766,702.8108,142141.8003,14450.4382,14362.53,-352.3797,-1110.0193,Q1,2025
23,300347,泰格医药,109168.1166,20.88,2634.3547,502586.8261,-0.82,356025.2025,17544.9788,53084.0459,7615.9524,19123.9954,2558.5746,455952.7495,122900.9492,122278.08,-540.1778,-2690.8314,Q3,2025
24,300347,泰格医药,36282.8304,-34.93,2140.4223,325044.428,-3.21,227246.5808,10791.023,35528.5024,6328.2437,12700.4933,1631.4692,294226.3124,44425.7861,7986.1,-429.4719,-2501.5432,HY,2025
25,301080,百普赛斯,19921.2637,,2529.8073,47443.0912,,3554.6054,11235.471,7148.6666,-5347.4678,11385.3326,85.9847,28062.5925,21645.5477,21498.59,-2346.4436,-102.5436,FY,2022
26,301080,百普赛斯,4291.735,,39.2392,13686.5463,,1224.8249,3442.3783,1949.1478,-1014.0663,2878.5836,21.1113,8501.9796,4659.7115,4647.64,-610.8523,-83.1947,Q1,2023
27,301080,百普赛斯,12013.9319,,478.2484,41257.992,,3561.0889,11650.7023,6344.7064,-4774.5811,9403.245,168.6925,26353.854,13656.1263,13624.55,-1973.0668,-73.3384,Q3,2023
28,301080,百普赛斯,8676.2542,,198.1767,26839.996,,2389.7785,7322.7688,4020.8249,-3594.9568,6060.7202,105.6386,16304.7741,9729.6622,382.2,-1339.134,-46.8067,HY,2023
29,301080,百普赛斯,14755.1978,-25.93,1562.9812,54365.3288,14.59,4748.8449,16762.3968,8432.1694,-6264.5327,12491.5075,251.7975,36422.1834,16106.8482,16066.91,-3764.7747,-171.0531,FY,2023
30,301080,百普赛斯,2922.4603,-31.9,39.7625,14599.8737,6.67,1082.7963,4735.485,2316.8415,-1438.9258,3683.9839,67.2493,10447.4301,3143.5135,3147.11,-1007.7511,-40.9469,Q1,2024
31,301080,百普赛斯,7900.7673,-34.24,298.876,46348.5245,12.34,4019.1717,14608.2734,7939.4405,-3802.0865,12180.8789,181.2197,35126.8977,7984.1546,7987.37,-3165.1812,-139.8537,Q3,2024
32,301080,百普赛斯,5372.336,-38.08,142.6904,29940.0735,11.55,2557.3036,9668.3043,4808.8406,-2686.2934,7822.5675,122.789,22293.5118,5726.6437,5731.65,-1810.4906,-60.4546,HY,2024
33,301080,百普赛斯,12004.2076,-18.64,862.6246,64502.1891,18.65,5848.5173,20709.562,11070.4853,-5980.1443,16534.9619,269.6138,48452.9959,12536.6097,12491.47,-3975.734,-217.1308,FY,2024
34,301080,百普赛斯,4031.7827,37.96,289.331,18649.038,27.73,1799.12,5355.5524,2855.7241,-742.7742,4222.5241,141.3123,13631.4588,4340.6913,4336.68,-959.5857,-96.7479,Q1,2025
35,301080,百普赛斯,13167.1172,66.66,381.5751,61298.5402,32.26,5373.1898,17715.1283,9004.6748,-2909.4887,13548.9788,266.7285,42999.2114,13820.4754,13820.61,-5280.3818,-328.7937,Q3,2025
36,301080,百普赛斯,8338.9457,55.22,370.018,38736.4916,29.38,3820.1565,11502.4872,5949.9737,-2788.6504,9011.0449,143.7197,27638.7316,8916.3953,8938.82,-2251.3089,-76.338,HY,2025
37,301096,百诚医药,19404.262,,2944.1403,60741.0539,,19817.9852,784.2068,10142.7127,-4181.1633,16606.6239,249.1995,43419.5648,18864.343,-105.6,-291.7373,-713.8732,FY,2022
38,301096,百诚医药,3510.9633,,67.4896,16092.1094,,5520.4313,225.3941,3014.3084,-616.2479,4463.8654,-15.076,12592.6754,3237.2821,3236.36,-154.6568,-174.9847,Q1,2023
39,301096,百诚医药,20152.8646,,156.9931,71380.6299,,23329.4848,675.1785,9913.1994,-1683.4255,15396.5605,321.4454,47952.4433,22571.8817,22435.62,-759.4197,-360.2523,Q3,2023
40,301096,百诚医药,11950.1817,,78.4737,42386.2084,,14174.3437,429.9349,6125.5473,-1306.4088,9181.1587,122.0749,28726.6508,12915.7143,12771.06,-623.9487,-305.8146,HY,2023
41,301096,百诚医药,27201.4711,40.18,1619.5567,101744.8123,67.51,35073.7209,965.197,12862.574,-2120.6659,24101.6943,570.369,71452.8893,29702.1669,0.1,-1290.6615,-985.9314,FY,2023
42,301096,百诚医药,4981.8209,41.89,119.5638,21570.2842,34.04,6861.1172,147.2526,2804.786,-128.3729,6527.1951,243.3835,16455.3616,4780.5281,4789.73,-267.1554,-189.9294,Q1,2024
43,301096,百诚医药,14153.7619,-29.77,1674.6348,72147.8653,1.07,28015.2584,1134.1707,4540.3661,133.2801,23505.1331,741.1487,58069.3571,13083.3977,13071.54,-625.4575,-1385.6954,Q3,2024
44,301096,百诚医药,13417.1505,12.28,1274.5471,52506.1535,23.88,16406.9495,687.6347,6172.7074,-150.6797,14867.8263,503.1899,38487.628,13394.4634,13410.83,-875.6948,-1035.9234,HY,2024
45,301096,百诚医药,-5292.2991,-119.46,2016.186,80192.3244,-21.18,38506.4414,1496.1617,7746.9869,420.5334,31828.8767,989.6834,80988.6835,-3439.3588,-3606.1,-1009.0018,-3091.0131,FY,2024
46,301096,百诚医药,-2619.7618,-152.59,877.8823,12872.748,-40.32,7515.5235,259.0098,2679.954,344.324,5446.6162,231.1339,16476.5614,-2791.3186,-2778.41,-17.2401,-156.1622,Q1,2025
47,301096,百诚医药,612.421,-95.67,1706.6545,50988.3682,-29.33,26015.4332,744.6867,8233.2695,1258.7402,13928.8938,703.577,50884.6005,765.0162,796.51,-264.6037,-1047.6859,Q3,2025
48,301096,百诚医药,309.8161,-97.69,1292.985,33235.3113,-36.7,16373.5105,572.0791,5396.7967,753.4461,10096.6474,463.2301,33655.7099,368.5713,390.05,93.7129,-766.571,HY,2025
49,301033,迈普医学,3573.4918,,734.0286,19525.2386,,3122.8303,7027.3232,3529.8729,-10.0139,3061.4297,204.1333,16935.5755,4134.7067,0,-3.3041,-0.8501,FY,2022
50,301033,迈普医学,781.6549,,69.5664,4448.577,,864.9655,1200.5309,940.8915,45.3006,566.1139,96.7219,3714.5243,893.7084,893.43,-0.8085,-4.1348,Q1,2023
51,301033,迈普医学,2542.4758,,179.8652,14577.8696,,2766.6889,3838.9379,3295.4359,25.3167,1755.5637,305.0159,11986.959,3039.1556,2985.32,-3.9011,-5.1102,Q3,2023
52,301033,迈普医学,1189.1628,,117.1503,8571.55,,1728.9549,2355.2139,1989.7661,4.8405,1202.0028,197.766,7478.5442,1409.6833,199.18,-1.5912,-2.2867,HY,2023
53,301033,迈普医学,4087.739,14.39,337.0485,23086.9677,18.24,4154.2832,6174.8548,5442.4086,53.1588,2677.9342,456.7389,18959.3785,4826.726,0,-3.2608,-3.6563,FY,2023
54,301033,迈普医学,1494.4755,91.19,347.8884,5720.6085,28.59,1070.1946,1223.4756,1350.8015,15.809,527.7862,115.5028,4303.5697,1872.5791,1872.34,0.1308,-0.9262,Q1,2024
55,301033,迈普医学,5280.2976,107.68,877.7949,19094.075,30.98,4158.8232,3329.2798,4484.8008,-42.3899,1663.2976,360.7521,13954.5636,6301.5737,6268.77,-0.0837,-1.5482,Q3,2024
56,301033,迈普医学,3239.068,172.38,605.2382,12204.6806,42.39,2580.7082,2276.9255,2970.5764,-14.4513,1105.1898,227.0137,9145.9623,3858.5955,6053157.93,-0.0212,-1.0943,HY,2024
57,301033,迈普医学,7885.423,92.9,1244.2951,27844.2127,20.61,5756.3558,5720.5637,5683.2711,-132.3785,2709.0651,520.9253,20257.8024,9172.2046,0,-6.9977,-9.5829,FY,2024
58,301033,迈普医学,2416.2307,61.68,277.9303,7370.3894,28.84,1435.6381,1167.5611,1411.066,-95.8239,784.6308,144.8605,4847.9326,2853.506,2831.6,-2.9561,-3.2995,Q1,2025
59,301033,迈普医学,7585.4037,43.65,757.5652,24922.8235,30.53,4768.8074,4422.8491,4900.1204,-130.8411,2576.0729,464.5903,17001.5989,8898.094,8777.88,-12.8571,6.9926,Q3,2025
60,301033,迈普医学,4729.9143,46.03,559.0659,15777.7674,29.28,3062.8424,2788.902,3034.4696,-146.0818,1737.2331,308.6711,10786.0364,5686.9401,7514651.1,-0.9078,3.2145,HY,2025
61,300244,迪安诊断,186246.9998,,9184.8848,2028246.926,,1274581.065,159708.6872,126804.7741,29823.5596,63847.363,5616.6998,1660382.148,282260.8568,254356.21,-62402.4968,-30523.355,FY,2022
62,300244,迪安诊断,25485.1363,,2132.4695,323180.9152,,214821.0058,26225.868,19610.7999,6095.8971,9992.4702,1094.5411,277840.5821,36049.2006,10039.06,-378.354,-11695.1388,Q1,2023
63,300244,迪安诊断,79143.0012,,4523.3964,1029219.493,,691491.414,88670.5963,65087.5969,16947.3999,32048.402,3511.2014,897756.6105,103236.5167,22701.29,-77.3058,-35337.0395,Q3,2023
64,300244,迪安诊断,61130.301,,3437.6463,684186.58,,457381.8116,58912.3284,43148.6132,11545.1854,21781.2755,2325.4677,595094.6818,77971.3095,15959.54,-66.3674,-25224.1178,HY,2023
65,300244,迪安诊断,58159.0647,-68.77,9885.747,1340831.98,-33.89,921338.3493,138353.9384,94707.2123,22060.8204,43264.0083,4603.8218,1224328.151,84218.2864,79832.6,-1673.8383,-38308.0629,FY,2023
66,300244,迪安诊断,7639.3133,-70.02,1030.4422,297300.5618,-8.01,221405.1065,26075.0514,16901.6191,5088.8128,7233.0627,994.2437,277697.8961,10285.8253,10136.56,-145.2462,-9278.3263,Q1,2024
67,300244,迪安诊断,30268.3797,-61.75,2671.5566,925811.0868,-10.05,666109.3419,87660.7622,54706.1713,15179.0774,22527.898,2942.1498,849125.4006,43584.7286,12148.78,76.741,-35435.004,Q3,2024
68,300244,迪安诊断,17263.4551,-71.76,1537.9583,621815.8527,-9.12,449620.4137,56049.552,38970.5072,9881.8133,15475.5057,2015.871,572013.6628,24784.374,24644.04,-263.155,-25465.5991,HY,2024
69,300244,迪安诊断,-16923.3096,-129.1,3669.5035,1219622.373,-9.04,877960.655,121776.8952,85893.1871,19803.222,30588.0933,4332.5166,1140354.569,-3111.5178,-5182.63,-40157.863,-48344.9219,FY,2024
70,300244,迪安诊断,417.2276,-94.54,1165.7759,236512.5686,-20.45,174087.6331,25890.5714,13678.4132,4278.8826,5744.3585,1016.8334,224696.6921,2342.326,2071.36,-141.4134,-10023.7183,Q1,2025
71,300244,迪安诊断,18201.0837,-39.87,2376.724,756558.6728,-18.28,536602.0439,83083.3985,51813.1891,9629.4927,16946.3374,3102.4283,701176.8899,28502.9732,27608.91,72.0415,-31747.7767,Q3,2025
72,300244,迪安诊断,8220.2776,-52.38,1910.2936,493648.4994,-20.61,357436.6089,53412.6853,32930.775,7003.7411,11612.1837,1954.2577,464350.2517,11585.2952,2859.69,-16.9885,-21530.1292,HY,2025
73,603127,昭衍新药,0.0093,,584.5483,0.005,,118165.952,1800.7487,28658.8484,-15468.1573,7798.475,332.5204,141876.5598,36108.0478,97106.6114,-108.0545,-29.3448,FY,2022
74,603127,昭衍新药,0.005,,1134.7383,0.0036,,17843.0001,536.1173,7454.3758,-2480.0326,2761.1586,166.515,26281.1341,21436.9687,18775.9655,-41.7677,-209.0413,Q1,2023
75,603127,昭衍新药,-0.0076,,329.5486,0.003,,56350.9714,1186.6114,15249.2949,-7390.599,5693.3423,330.0406,71419.6616,11683.9106,9062.7154,0.0072,0.0071,HY,2023
76,603127,昭衍新药,-0.0048,,1988.7566,0.0024,,89245.555,1833.2634,22923.6753,-11856.8296,7763.968,574.085,110483.7171,39208.494,0.0001,-541.8844,-318.7147,Q3,2023
77,603127,昭衍新药,-0.0063,-167.74,0.0067,0.0005,-90,136370.1063,2461.5109,28025.478,-15109.1225,9685.4373,0.0062,162201.0226,50709.6321,0.0063,-3123.2454,1032.2045,FY,2023
78,603127,昭衍新药,-0.0245,-590,665.0919,-0.0012,-133.33,21815.699,585.0464,7196.1657,-2801.1483,2296.7298,236.9721,29329.4647,-29300.8275,-27222.2475,-2626.4433,-186.8335,Q1,2024
79,603127,昭衍新药,-0.0287,-277.63,305.1261,-0.0016,-153.33,59142.3437,1216.3059,15635.0663,-6009.9013,4783.9663,538.4649,75306.2459,-17715.4741,-16974.2641,-4521.3932,816.6658,HY,2024
80,603127,昭衍新药,-0.0121,-152.08,1912.44,-0.0016,-166.67,96825.1629,1940.2507,23673.576,-7463.5916,7108.5657,689.4613,122773.4251,-6966.1014,-0.0171,-2548.0217,-1147.7063,Q3,2024
81,603127,昭衍新药,-0.0081,-28.57,2652.7237,-0.0015,-400,144456.0234,2788.1056,28918.0576,-9977.3208,9291.8281,898.1402,176374.8341,24706.1289,0.0001,-1127.8597,-94.6718,FY,2024
82,603127,昭衍新药,0.0115,146.94,527.04,28733.7235,2394477058,20513.2918,607.9269,7178.4153,-1912.3449,2302.7884,135.2112,28825.2886,4938.2588,0.0001,-3249.461,1041.1088,Q1,2025
83,603127,昭衍新药,0.0001,100.35,1285.7778,50,3125100,50793.5259,1460.8734,13450.5156,-3741.8111,4344.607,431.7229,66739.4337,50,6093.2399,0.0072,0.0071,HY,2025
84,603127,昭衍新药,1977.3669,16341975.21,2471.2928,-0.0026,-62.5,77268.1388,2204.1853,21357.4864,-5291.3416,6386.427,617.8942,102542.7901,9945.2028,-1.5689,-7629.5444,228.5614,Q3,2025
85,603259,药明康德,0.0073,,44227.1044,0.0072,,24677216845,731586603.4,282554.7531,-24796.8053,161395.3441,200474376,2980081.075,1065224.855,1061602.992,-17595.1409,-11491.0121,FY,2022
86,603259,药明康德,0.0032,,10168.7366,0.0006,,538788.1541,17585.3794,64904.272,14486.8719,35730.1004,6028.0865,677522.8643,261535.4835,216812.8379,-787.3316,-736.1223,Q1,2023
87,603259,药明康德,0.0015,,22600.2077,0.0006,,1122547.781,35347.4082,127285.2147,-48055.7723,66704.5047,11690.0797,1315519.216,641244.0472,531311.9704,-5592.481,-10127.1635,HY,2023
88,603259,药明康德,0.0009,,28653.6807,0.0004,,1734130.717,52122.0395,197987.5643,-65344.9455,102581.1071,17599.009,2039075.491,980741.6478,0.2023,-6148.6509,-12862.0014,Q3,2023
89,603259,药明康德,0.0009,-87.67,47239.2295,0.0003,-95.83,2372879.964,70102.9693,287877.0843,-33811.9179,144063.0437,29747.9375,2870859.081,1187228.591,0.0001,-15650.8914,-23840.3368,FY,2023
90,603259,药明康德,-0.001,-131.25,8038.705,798193.4237,1.33032E+11,493838.2494,17909.3852,57585.9743,-42436.1846,30640.2572,6853.2048,564390.8864,230984.7179,194221.0694,659.4693,-2073.7646,Q1,2024
91,603259,药明康德,-0.002,-233.33,19354.8193,-0.0009,-250,10453936890,357521840,1212235637,-603224233.7,636308858.8,14687.617,1220365.516,507845.4076,423982.2013,1141.2652,-8310.7059,HY,2024
92,603259,药明康德,-0.0019,-311.11,28725.4161,-0.0006,-250,1644025.613,54658.2319,186946.8115,-6196.9592,95404.2827,21878.425,1996716.405,789086.9263,0.0001,-2010.4426,-15599.9892,Q3,2024
93,603259,药明康德,-0.0002,-122.22,49979.1632,-0.0003,-200,2296451.546,74538.8382,287934.1988,-78668.3599,123852.4969,30118.1005,2734226.821,1158017.472,0.0031,-123625.797,-33757.861,FY,2024
94,603259,药明康德,0.0089,990,10695.4397,0.0089,-100,557452.9171,19405.1886,56279.4265,7160.8394,22440.8414,8473.6858,671212.8988,429274.8775,367196.095,-15621.3199,-7877.3318,Q1,2025
95,603259,药明康德,0.0102,610,18284.5974,0.0021,333.33,1155412.421,39436.7253,117541.6378,20620.3801,51442.714,17001.7518,1401455.63,40499000,856088.2628,-32142.0123,-18921.8243,HY,2025
96,603259,药明康德,0.0085,547.37,22835.169,0.0019,416.67,1753809.864,56937.4574,185852.6669,19065.2098,82565.0523,27396.5205,2125626.771,1506606.179,0.0054,-41011.3443,-34685.5873,Q3,2025
97,688222,成都先导,-0.006,,1402.4952,0.0006,,17249.4587,1758.4202,7201.3014,-1504.3488,8736.1949,11.5481,33454.7464,2025.028,0.2022,-1176.4874,-225.8285,FY,2022
98,688222,成都先导,-939.3597,,274.2536,-0.0004,,4264.3386,432.228,1826.7301,167.732,2064.8543,2.3894,8758.2724,-1154.9643,-0.0939,8.4193,0.9061,Q1,2023
99,688222,成都先导,582.1041,,409.4973,0.0012,,8902.4984,953.8476,3818.1848,-111.1573,3931.8637,5.4906,17500.7277,971.5605,582.1041,1.1896,-1.9432,HY,2023
100,688222,成都先导,0.0075,,1672.4734,0.0013,,13832.1914,1432.8273,5589.0589,250.616,5825.6297,9.5232,26939.8466,732.1397,0.0002,94.5134,-1.9444,Q3,2023
101,688222,成都先导,0.0061,201.67,2553.584,0.0013,116.67,18845.4801,2072.4619,6989.8158,331.1776,7961.0849,386.4985,36586.5189,4182.3072,12520.858,-1303.3189,-275.991,FY,2023
102,688222,成都先导,1394.0029,248.4,156.5309,0.0054,1450,4853.5033,444.3098,1757.1265,4.8886,0.1394,41.9595,8400.7098,1449.5501,1394.0029,53.5033,-4.4258,Q1,2024
103,688222,成都先导,0.0075,-100,255.0621,0.0025,108.33,10392.1414,971.5719,3873.0661,-274.5324,3073.4028,131.0186,18166.6683,1431.6084,1019.7697,-4.5698,-1.9432,HY,2024
104,688222,成都先导,0.0065,-13.33,627.0948,0.0021,61.54,15110.5481,1476.8045,5638.4488,-121.9273,5165.1963,170.8745,27439.9448,2601.5359,0.0002,94.5134,-6.1389,Q3,2024
105,688222,成都先导,0.0103,-100,786.1146,10673.6383,197659868.5,5137.1488,377.1331,1782.5705,-355.109,1282.4415,40.959,8265.144,3119.4862,2828.4393,40.959,-17.6244,Q1,2025
106,688222,成都先导,0.0026,-57.38,875.6115,0.0015,15.38,12757.9785,0.0063,0.0064,1077.5682,0.0065,0.0062,36031.1484,-45.7449,0.5136,0.0072,156.0105,FY,2024
107,688222,成都先导,0.0391,421.33,1562.9635,0.0017,-32,10486.7276,919.3983,3695.7493,-1170.2826,2880.849,83.1046,16895.5461,44.4051,5004.2033,-4.5698,-5.993,HY,2025
108,688222,成都先导,0.0208,220,2141.9825,0.0024,14.29,16695.4029,1509.6755,5639.0833,-681.4632,4340.3131,125.3617,27628.3733,10310.4064,14278.1752,0.0048,-6.0574,Q3,2025
109,688276,百克生物,-0.0025,,656.9832,-0.0011,,137223318.9,411627231.1,144471039.9,-20114471.29,133529901.3,969.957,81643.659,18691.5522,1.8154,-6242.6778,-1254.5103,FY,2022
110,688276,百克生物,0.0006,,82.2471,0.003,,2533.54,7125.841,3189.6359,-389.9959,3340.3636,240.7707,16040.1552,1933.0502,1838.1037,-48.4776,-59.1511,Q1,2023
111,688276,百克生物,0.0051,,271.2777,0.0027,,5210.9245,16793.4178,6310.7314,-1005.4494,7589.2088,492.147,42962.8761,11465.708,11138.344,-0.0072,-957.0018,HY,2023
112,688276,百克生物,0.0056,,228.2896,0.0044,,13890.9195,44378.0119,9590.1991,-1054.9823,12600.6418,878.3692,83233.5257,40189.0861,11976.4591,-1562.3639,-2984.8958,Q3,2023
113,688276,百克生物,0.0176,804,385.9842,0.007,736.36,17821.5317,64716.8907,15934.4714,-1224.4178,19807.4583,1304.2236,118360.1579,55929.1025,5.0101,-0.0072,3171.883,FY,2023
114,688276,百克生物,0.023,3733.33,102.3685,0.0051,70,2779.141,9995.4306,3357.067,-145.0564,4694.0336,220.1128,21070.8744,6576.3525,6056.5065,-19.8286,339.0221,Q1,2024
115,688276,百克生物,0.0024,-52.94,244.2065,0.001,-62.96,7475.9646,23319.773,6240.7627,-282.8159,8552.9938,483.3772,45790.0553,16068.9016,13760.4497,970.5901,-1471.4769,HY,2024
116,688276,百克生物,-0.0026,-146.43,376.3807,-0.0017,-138.64,14882.0501,38040.1013,7794.4097,-324.2707,11658.664,780.6106,73123.269,28686.2679,-0.0051,-391.2569,-1051.3087,Q3,2024
117,688276,百克生物,-0.0054,-130.68,480.5755,-0.0033,-147.14,17917.8526,47496.0286,11292.9753,-376.9091,15614.199,996.9603,92941.1066,25788.9033,5.956,-0.0072,-620.0967,FY,2024
118,688276,百克生物,-0.0098,-142.61,54.5679,0.0005,-90.2,2391.2156,-0.0098,2965.6195,21.173,3688.2127,187.2036,16722.557,-747.7637,106.4276,-9.6869,270.8056,Q1,2025
119,688276,百克生物,-0.0153,-737.5,210.1742,-0.0054,-640,6161.5318,16556.4616,5754.0333,47.1067,9316.6982,369.0853,38204.917,5000,-7357.3428,-434.325,672.7258,HY,2025
120,688276,百克生物,-0.0165,-534.62,338.2112,-0.0054,-217.65,11669.5815,-0.0187,7972.3521,120.8307,-0.0187,510.751,62897.7113,-50014.5676,-0.0179,-3828.6666,-28839.763,Q3,2025
